Date,Weekday,Release Count,Releases
2025-05-29,Thursday,2,"───────────────
📦 @stackflow/react-ui-core@1.3.2
🗓 2025-05-29 17:08

🔧 Patch Changes
-   d2c50f3: fix(react-ui-core): add `preventSwipeBack` into effect dependencies
───────────────
📦 @stackflow/plugin-basic-ui@1.14.2
🗓 2025-05-29 17:08

🔧 Patch Changes
-   371a39c: fix(plugin-basic-ui): update dependencies
-   Updated dependencies [d2c50f3]
-   @stackflow/react-ui-core@1.3.2"
2025-05-15,Thursday,2,"───────────────
📦 @stackflow/react-ui-core@1.3.1
🗓 2025-05-15 18:07

🔧 Patch Changes
-   aef952a: fix(react-ui-core): prevent default `touchend` event
───────────────
📦 @stackflow/plugin-basic-ui@1.14.1
🗓 2025-05-15 18:07

🔧 Patch Changes
-   aef952a: fix(plugin-basic-ui): prevent touch events while transitioning for other basic components
-   Updated dependencies [aef952a]
-   @stackflow/react-ui-core@1.3.1"
2025-05-12,Monday,1,"───────────────
📦 @stackflow/react@1.5.2
🗓 2025-05-12 16:52

🔧 Patch Changes
-   b9dc68a: fix(react): remove unused dependencies"
2025-04-09,Wednesday,2,"───────────────
📦 @stackflow/react-ui-core@1.3.0
🗓 2025-04-09 19:08

🔧 Patch Changes
### Minor Changes
-   a7650d4: Support full screen gradient background and introduce new app bar entrance type ""cover""
───────────────
📦 @stackflow/plugin-basic-ui@1.14.0
🗓 2025-04-09 19:08

🔧 Patch Changes
### Minor Changes
-   a7650d4: Support full screen gradient background and introduce new app bar entrance type ""cover""
-   Updated dependencies [a7650d4]
-   @stackflow/react-ui-core@1.3.0"
2025-03-27,Thursday,2,"───────────────
📦 @stackflow/react-ui-core@1.2.3
🗓 2025-03-27 15:55

🔧 Patch Changes
-   5c4b96c: fix(react-ui-core): consider nullable stack
───────────────
📦 @stackflow/plugin-basic-ui@1.13.1
🗓 2025-03-27 15:55

🔧 Patch Changes
-   5c4b96c: fix(react-ui-core): consider nullable stack
-   Updated dependencies [5c4b96c]
-   @stackflow/react-ui-core@1.2.3"
2025-03-14,Friday,2,"───────────────
📦 @stackflow/react-ui-core@1.2.2
🗓 2025-03-14 15:58

🔧 Patch Changes
-   8593b5a: fix(plugin-basic-ui,react-ui-core): prevent touch events while transitioning
───────────────
📦 @stackflow/plugin-basic-ui@1.13.0
🗓 2025-03-14 15:58

🔧 Patch Changes
### Minor Changes
-   91413b6: To support various background designs, enable users to configure the background-image option in AppScreen, AppBar, BottomSheet and Modal.
-   8593b5a: fix(plugin-basic-ui,react-ui-core): prevent touch events while transitioning
-   Updated dependencies [8593b5a]
-   @stackflow/react-ui-core@1.2.2"
2025-02-24,Monday,1,"───────────────
📦 @stackflow/react@1.5.1
🗓 2025-02-24 20:45

🔧 Patch Changes
-   7751e60: fix(react): pause lazy component transition when no loader defined"
2025-02-14,Friday,3,"───────────────
📦 @stackflow/react@1.5.0
🗓 2025-02-14 11:06

🔧 Patch Changes
### Minor Changes
-   cfa7af8: Supports dynamic import for activities, and delays transition effects while loading an activity or waiting for a loader response
-   82b52b0: Add missing logics of considering `targetActivityId` while updating using update functions.
-   cfa7af8: The 'update functions' pattern for step push and replace actions is implemented.
-   cfa7af8: feat(core, react): add `hasZIndex` option in `useStepFlow()`
───────────────
📦 @stackflow/plugin-basic-ui@1.12.0
🗓 2025-02-14 11:06

🔧 Patch Changes
### Minor Changes
-   cfa7af8: Supports dynamic import for activities, and delays transition effects while loading an activity or waiting for a loader response
-   cfa7af8: fix(plugin-basic-ui): assign normalized values to global option provider
───────────────
📦 @stackflow/core@1.2.0
🗓 2025-02-14 11:06

🔧 Patch Changes
### Minor Changes
-   cfa7af8: Supports dynamic import for activities, and delays transition effects while loading an activity or waiting for a loader response
-   cfa7af8: feat(core, react): add `hasZIndex` option in `useStepFlow()`"
2025-01-22,Wednesday,5,"───────────────
📦 @stackflow/react@1.4.2
🗓 2025-01-22 21:13

🔧 Patch Changes
-   e323ce3: fix: add `decode()` interface to `Config` and support `path: string[]`
───────────────
📦 @stackflow/plugin-history-sync@1.7.1
🗓 2025-01-22 21:13

🔧 Patch Changes
-   e323ce3: fix: add `decode()` interface to `Config` and support `path: string[]`
───────────────
📦 @stackflow/link@1.6.1
🗓 2025-01-22 21:13

🔧 Patch Changes
-   e323ce3: fix: add `decode()` interface to `Config` and support `path: string[]`
───────────────
📦 @stackflow/core@1.1.1
🗓 2025-01-22 21:13

🔧 Patch Changes
-   5fc54cb: Made `divideBy` to be friendly to type inference.
───────────────
📦 @stackflow/config@1.2.1
🗓 2025-01-22 21:13

🔧 Patch Changes
-   e323ce3: fix: add `decode()` interface to `Config` and support `path: string[]`"
2024-12-18,Wednesday,4,"───────────────
📦 @stackflow/react-ui-core@1.2.1
🗓 2024-12-18 21:25

🔧 Patch Changes
-   48693e7: feat(react-ui-core): add swipe back ratio css var in other activity roots and add `transitionend` state in `useStyleEffectSwipeBack()`
───────────────
📦 @stackflow/react-ui-core@1.2.0
🗓 2024-12-18 16:57

🔧 Patch Changes
### Minor Changes
-   dc35bfc: feat(react-ui-core, plugin-basic-ui): add `onSwipe*` hooks and add data attributes and css variables
───────────────
📦 @stackflow/plugin-basic-ui@1.11.1
🗓 2024-12-18 23:29

🔧 Patch Changes
-   151631b: chore(plugin-basic-ui): update react-ui-core dependency
───────────────
📦 @stackflow/plugin-basic-ui@1.11.0
🗓 2024-12-18 16:57

🔧 Patch Changes
### Minor Changes
-   f9f1399: Change to the latest AppBar style
-   dc35bfc: feat(react-ui-core, plugin-basic-ui): add `onSwipe*` hooks and add data attributes and css variables
-   Updated dependencies [dc35bfc]
-   @stackflow/react-ui-core@1.2.0"
